Company, Viken Detection
Model, Pb200i
Type, XRF Lead Paint Analyzer
Serial Num., 2753
App Version, Pb200i-5.2.0

Job Id,Reading #,Concentration,Units,3 SD,Result,Calibration Reading,Action Level,RTA Present,Read Through,NomSecs,Date,Time,User,Mode,Analytic Mode,Latitude,Longitude,Accuracy,Job,Location,Room,Side,Componet ,-->Member,Substrate,Condition,-->Cause,Color,
,24,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:21:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,D,Cabinets,Door,Wood,Intact,,Brown,
,25,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:21:38,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Living Room/Kitchen,D,Cabinets,Frame,Wood,Intact,,Brown,
,26,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:22:30,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,A,Room,Wall,Wood,Intact,,Beige,
,27,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:22:50,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,B,Room,Wall,Wood,Intact,,Beige,
,28,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:23:12,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,C,Room,Wall,Wood,Intact,,Beige,
,29,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:23:33,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,D,Room,Wall,Wood,Intact,,Beige,
,30,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:25:25,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,C,Door,Casing,Wood,Intact,,Brown,
,31,0.0,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:25:59,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Apartment / Residential ,Bedroom 2,C,Door,---,Wood,Intact,,Brown,
,32,0.1,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:32:13,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Door,---,Metal,Intact,,Brown,
,33,0.3,mg/cm2,0.3,Negative,false,1.00,false,false,2.00,2022-02-26,12:32:51,EI Group,Action Level,Lead Paint,0.000000,0.000000,0.0,228 US 13N ,Exterior,House,A,Door,Casing,Metal,Intact,,Brown,
